iter	Passed	Remaining
0	1	1294
1	2	1082
2	3	1052
3	4	1013
4	5	1115
5	6	1126
6	7	1113
7	9	1172
8	10	1183
9	12	1199
10	13	1202
11	14	1215
12	15	1182
13	17	1216
14	18	1200
15	19	1185
16	21	1227
17	22	1200
18	23	1198
19	24	1184
20	25	1178
21	27	1200
22	28	1218
23	30	1221
24	31	1220
25	31	1198
26	32	1184
27	34	1195
28	35	1192
29	36	1186
30	37	1178
31	38	1158
32	39	1146
33	39	1135
34	41	1133
35	42	1129
36	43	1136
37	45	1139
38	45	1132
39	46	1120
40	47	1115
41	48	1113
42	49	1107
43	50	1094
44	51	1088
45	52	1083
46	53	1075
47	53	1067
48	54	1060
49	56	1068
50	57	1063
51	57	1057
52	58	1050
53	59	1043
54	60	1035
55	61	1028
56	61	1020
57	62	1015
58	63	1011
59	64	1004
60	64	997
61	65	991
62	66	984
63	66	978
64	67	971
65	68	966
66	69	964
67	70	964
68	71	964
69	72	960
70	73	956
71	73	953
72	74	948
73	75	944
74	76	939
75	77	941
76	78	941
77	79	938
78	80	935
79	81	934
80	82	932
81	83	929
82	83	922
83	84	921
84	85	920
85	86	917
86	87	913
87	87	908
88	88	905
89	89	901
90	90	899
91	90	897
92	92	899
93	93	898
94	94	896
95	94	894
96	95	890
97	96	888
98	97	884
99	97	881
100	99	881
101	99	880
102	100	877
103	101	874
104	102	871
105	103	870
106	103	867
107	104	864
108	105	864
109	107	867
110	107	864
111	108	861
112	109	858
113	110	855
114	110	851
115	111	848
116	111	844
117	112	841
118	113	840
119	114	838
120	114	835
121	115	831
122	116	828
123	116	825
124	117	822
125	118	820
126	119	818
127	119	817
128	120	816
129	121	814
130	122	812
131	123	810
132	123	807
133	124	804
134	125	802
135	125	799
136	126	796
137	127	794
138	128	794
139	128	791
140	129	789
141	129	785
142	130	782
143	131	779
144	131	777
145	132	775
146	133	773
147	134	776
148	135	776
149	136	773
150	138	776
151	138	774
152	139	772
153	140	770
154	140	767
155	141	766
156	142	767
157	144	769
158	145	767
159	145	765
160	146	764
161	147	765
162	148	762
163	149	763
164	150	762
165	151	762
166	152	761
167	153	759
168	154	758
169	155	756
170	155	755
171	156	755
172	157	754
173	158	752
174	159	751
175	160	749
176	161	748
177	162	749
178	163	749
179	164	749
180	165	748
181	166	750
182	168	750
183	169	749
184	169	747
185	170	747
186	172	748
187	172	746
188	173	744
189	174	743
190	175	742
191	178	750
192	179	750
193	180	749
194	181	747
195	181	745
196	182	744
197	183	743
198	184	742
199	185	742
200	186	742
201	187	741
202	188	740
203	190	741
204	190	740
205	191	738
206	192	738
207	194	739
208	195	741
209	196	740
210	197	739
211	198	737
212	199	737
213	200	735
214	201	734
215	202	733
216	202	732
217	203	730
218	204	729
219	205	727
220	206	727
221	207	727
222	208	726
223	209	725
224	210	724
225	211	722
226	211	720
227	212	718
228	213	718
229	214	719
230	215	718
231	216	717
232	217	716
233	218	715
234	219	713
235	219	712
236	221	711
237	222	711
238	223	710
239	224	709
240	224	708
241	225	707
242	226	705
243	227	703
244	228	702
245	229	702
246	229	700
247	230	699
248	231	697
249	231	695
250	232	693
251	233	691
252	233	689
253	234	688
254	235	686
255	235	685
256	236	684
257	237	682
258	238	681
259	238	679
260	239	678
261	240	676
262	240	674
263	241	673
264	242	671
265	243	671
266	244	669
267	244	668
268	245	666
269	246	665
270	246	663
271	247	662
272	248	660
273	248	659
274	249	657
275	250	657
276	251	656
277	252	654
278	252	653
279	253	651
280	254	650
281	254	648
282	255	647
283	256	645
284	256	644
285	257	643
286	258	642
287	259	641
288	259	639
289	260	637
290	261	636
291	261	634
292	262	633
293	263	632
294	263	630
295	265	630
296	266	630
297	267	629
298	267	627
299	268	626
300	269	625
301	269	623
302	270	622
303	271	621
304	272	619
305	272	619
306	273	618
307	274	617
308	275	615
309	276	614
310	276	613
311	277	611
312	278	610
313	279	609
314	280	609
315	280	608
316	281	607
317	282	606
318	283	604
319	283	603
320	284	601
321	285	600
322	286	599
323	287	598
324	287	597
325	288	596
326	289	594
327	289	593
328	290	592
329	290	590
330	291	589
331	292	587
332	292	586
333	294	587
334	295	586
335	296	585
336	297	584
337	297	583
338	298	581
339	299	580
340	299	579
341	301	579
342	301	578
343	302	577
344	303	575
345	303	574
346	304	573
347	305	571
348	305	570
349	306	569
350	307	568
351	308	568
352	309	567
353	310	566
354	311	565
355	311	564
356	312	562
357	313	561
358	313	560
359	314	558
360	315	558
361	316	557
362	317	556
363	317	555
364	318	553
365	319	552
366	319	551
367	320	550
368	321	550
369	323	550
370	324	549
371	324	548
372	325	547
373	326	545
374	326	544
375	327	543
376	328	542
377	328	540
378	329	540
379	330	539
380	331	538
381	331	536
382	332	535
383	333	534
384	333	533
385	334	532
386	335	531
387	336	531
388	337	530
389	338	529
390	339	528
391	339	527
392	340	526
393	341	525
394	342	523
395	342	522
396	343	522
397	344	521
398	345	520
399	346	519
400	346	517
401	347	516
402	348	515
403	348	514
404	349	513
405	350	512
406	351	512
407	352	511
408	352	510
409	353	508
410	354	507
411	355	506
412	355	505
413	356	504
414	356	503
415	357	502
416	358	501
417	359	500
418	360	499
419	361	498
420	361	497
421	362	496
422	363	495
423	363	494
424	364	493
425	366	493
426	367	492
427	367	491
428	368	491
429	369	489
430	370	488
431	371	487
432	371	486
433	372	485
434	373	484
435	374	483
436	374	482
437	375	481
438	376	480
439	376	479
440	377	478
441	378	477
442	379	476
443	379	475
444	380	475
445	381	474
446	382	472
447	382	471
448	383	470
449	384	469
450	385	468
451	385	467
452	386	466
453	386	465
454	387	464
455	388	463
456	389	462
457	390	461
458	390	460
459	391	459
460	392	458
461	393	457
462	393	456
463	394	455
464	395	455
465	396	454
466	397	453
467	397	452
468	398	451
469	399	450
470	399	448
471	400	447
472	401	446
473	401	445
474	402	445
475	403	444
